,date_time,open,close,high,low
0,12/11/2019 09:46:01,108420.0,108440.0,108440.0,108405.0
1,12/11/2019 09:47:00,108450.0,108440.0,108450.0,108425.0
2,12/11/2019 09:48:00,108440.0,108415.0,108440.0,108415.0
3,12/11/2019 09:49:00,108415.0,108400.0,108415.0,108380.0
4,12/11/2019 09:50:01,108405.0,108420.0,108425.0,108400.0
5,12/11/2019 09:51:00,108420.0,108410.0,108440.0,108405.0
6,12/11/2019 09:52:00,108410.0,108415.0,108415.0,108400.0
7,12/11/2019 09:53:00,108415.0,108425.0,108440.0,108415.0
8,12/11/2019 09:54:00,108430.0,108440.0,108465.0,108430.0
9,12/11/2019 09:55:00,108430.0,108460.0,108460.0,108430.0
10,12/11/2019 09:56:00,108460.0,108410.0,108460.0,108410.0
11,12/11/2019 09:57:00,108410.0,108415.0,108425.0,108390.0
12,12/11/2019 09:58:01,108410.0,108465.0,108465.0,108410.0
13,12/11/2019 09:59:00,108455.0,108420.0,108465.0,108420.0
14,12/11/2019 10:00:01,108420.0,108455.0,108455.0,108420.0
15,12/11/2019 10:01:00,108455.0,108455.0,108465.0,108440.0
16,12/11/2019 10:02:00,108455.0,108480.0,108485.0,108455.0
17,12/11/2019 10:03:00,108480.0,108520.0,108520.0,108475.0
18,12/11/2019 10:04:00,108520.0,108505.0,108530.0,108505.0
19,12/11/2019 10:05:00,108505.0,108535.0,108535.0,108505.0
20,12/11/2019 10:06:00,108525.0,108495.0,108530.0,108490.0
21,12/11/2019 10:07:00,108490.0,108450.0,108490.0,108445.0
22,12/11/2019 10:08:00,108465.0,108450.0,108465.0,108450.0
23,12/11/2019 10:09:00,108450.0,108460.0,108465.0,108450.0
24,12/11/2019 10:10:00,108460.0,108410.0,108460.0,108395.0
25,12/11/2019 10:11:00,108410.0,108440.0,108440.0,108410.0
26,12/11/2019 10:12:00,108440.0,108460.0,108460.0,108440.0
27,12/11/2019 10:13:00,108460.0,108425.0,108460.0,108415.0
28,12/11/2019 10:14:00,108425.0,108360.0,108425.0,108350.0
29,12/11/2019 10:15:00,108360.0,108370.0,108435.0,108345.0
30,12/11/2019 10:16:00,108370.0,108360.0,108390.0,108360.0
31,12/11/2019 10:17:00,108360.0,108305.0,108365.0,108265.0
32,12/11/2019 10:18:00,108305.0,108300.0,108345.0,108300.0
33,12/11/2019 10:19:00,108300.0,108245.0,108300.0,108245.0
34,12/11/2019 10:20:01,108245.0,108265.0,108295.0,108245.0
35,12/11/2019 10:21:00,108265.0,108210.0,108275.0,108210.0
36,12/11/2019 10:22:00,108210.0,108155.0,108225.0,108155.0
37,12/11/2019 10:23:01,108160.0,108175.0,108205.0,108160.0
38,12/11/2019 10:24:00,108185.0,108250.0,108250.0,108180.0
39,12/11/2019 10:25:00,108240.0,108220.0,108260.0,108220.0
40,12/11/2019 10:26:00,108220.0,108250.0,108260.0,108210.0
41,12/11/2019 10:27:01,108250.0,108150.0,108255.0,108145.0
42,12/11/2019 10:28:01,108150.0,108255.0,108260.0,108140.0
43,12/11/2019 10:29:00,108265.0,108285.0,108315.0,108230.0
44,12/11/2019 10:30:00,108285.0,108290.0,108300.0,108260.0
45,12/11/2019 10:31:00,108290.0,108280.0,108315.0,108265.0
46,12/11/2019 10:32:00,108280.0,108330.0,108340.0,108280.0
47,12/11/2019 10:33:00,108320.0,108385.0,108385.0,108320.0
48,12/11/2019 10:34:01,108385.0,108335.0,108385.0,108290.0
49,12/11/2019 10:35:00,108335.0,108360.0,108370.0,108335.0
50,12/11/2019 10:36:00,108360.0,108320.0,108360.0,108320.0
51,12/11/2019 10:37:00,108320.0,108270.0,108335.0,108245.0
52,12/11/2019 10:38:00,108270.0,108325.0,108325.0,108270.0
53,12/11/2019 10:39:00,108325.0,108290.0,108330.0,108260.0
54,12/11/2019 10:40:00,108290.0,108355.0,108355.0,108290.0
55,12/11/2019 10:41:00,108355.0,108340.0,108355.0,108315.0
56,12/11/2019 10:42:01,108340.0,108375.0,108375.0,108305.0
57,12/11/2019 10:43:00,108375.0,108440.0,108450.0,108375.0
58,12/11/2019 10:44:00,108440.0,108395.0,108445.0,108385.0
59,12/11/2019 10:45:00,108395.0,108380.0,108395.0,108355.0
60,12/11/2019 10:46:00,108380.0,108330.0,108395.0,108295.0
61,12/11/2019 10:47:00,108330.0,108100.0,108335.0,108100.0
62,12/11/2019 10:48:00,108100.0,107955.0,108120.0,107955.0
63,12/11/2019 10:49:04,107955.0,108075.0,108080.0,107955.0
64,12/11/2019 10:50:00,108075.0,108015.0,108075.0,108005.0
