,close,date_time,high,low,open
0,113055.0,16/12/2019 09:02:00,113085.0,112890.0,112890.0
1,113055.0,16/12/2019 09:03:00,113070.0,113030.0,113055.0
2,113055.0,16/12/2019 09:04:00,113085.0,113030.0,113055.0
3,113065.0,16/12/2019 09:05:00,113075.0,113055.0,113055.0
4,113060.0,16/12/2019 09:06:01,113080.0,113055.0,113060.0
5,113050.0,16/12/2019 09:07:00,113055.0,113035.0,113055.0
6,113075.0,16/12/2019 09:08:00,113085.0,113050.0,113050.0
7,113085.0,16/12/2019 09:09:00,113085.0,113075.0,113075.0
8,113075.0,16/12/2019 09:10:00,113090.0,113070.0,113080.0
9,113070.0,16/12/2019 09:11:00,113085.0,113055.0,113075.0
10,113050.0,16/12/2019 09:12:00,113075.0,113045.0,113070.0
11,113055.0,16/12/2019 09:13:00,113065.0,113045.0,113045.0
12,113090.0,16/12/2019 09:14:00,113095.0,113055.0,113055.0
13,113080.0,16/12/2019 09:15:01,113090.0,113070.0,113090.0
14,113080.0,16/12/2019 09:16:01,113090.0,113075.0,113080.0
15,113075.0,16/12/2019 09:17:01,113080.0,113065.0,113080.0
16,113070.0,16/12/2019 09:18:00,113075.0,113065.0,113075.0
17,113070.0,16/12/2019 09:19:01,113080.0,113065.0,113070.0
18,113065.0,16/12/2019 09:20:00,113070.0,113060.0,113070.0
19,113070.0,16/12/2019 09:21:01,113080.0,113060.0,113065.0
20,113050.0,16/12/2019 09:22:01,113070.0,113050.0,113070.0
21,113045.0,16/12/2019 09:23:01,113050.0,113040.0,113050.0
22,113055.0,16/12/2019 09:24:01,113065.0,113040.0,113045.0
23,113070.0,16/12/2019 09:25:00,113070.0,113045.0,113055.0
24,113055.0,16/12/2019 09:26:00,113080.0,113050.0,113070.0
25,113060.0,16/12/2019 09:27:00,113065.0,113055.0,113055.0
26,113060.0,16/12/2019 09:28:01,113065.0,113055.0,113065.0
27,113050.0,16/12/2019 09:29:00,113060.0,113050.0,113060.0
28,113045.0,16/12/2019 09:30:00,113060.0,113045.0,113050.0
29,113090.0,16/12/2019 09:31:01,113110.0,113045.0,113045.0
30,113110.0,16/12/2019 09:32:00,113110.0,113090.0,113090.0
31,113120.0,16/12/2019 09:33:00,113125.0,113110.0,113110.0
32,113115.0,16/12/2019 09:34:01,113125.0,113105.0,113120.0
33,113125.0,16/12/2019 09:35:01,113135.0,113105.0,113120.0
34,113165.0,16/12/2019 09:36:00,113165.0,113125.0,113125.0
35,113150.0,16/12/2019 09:37:00,113165.0,113145.0,113165.0
36,113155.0,16/12/2019 09:38:01,113160.0,113145.0,113155.0
37,113145.0,16/12/2019 09:39:00,113160.0,113145.0,113155.0
38,113160.0,16/12/2019 09:40:01,113170.0,113145.0,113145.0
39,113155.0,16/12/2019 09:41:00,113160.0,113145.0,113160.0
40,113140.0,16/12/2019 09:42:00,113155.0,113130.0,113155.0
41,113135.0,16/12/2019 09:43:00,113150.0,113135.0,113140.0
42,113135.0,16/12/2019 09:44:00,113145.0,113135.0,113135.0
43,113135.0,16/12/2019 09:45:00,113140.0,113125.0,113135.0
44,113140.0,16/12/2019 09:46:01,113140.0,113125.0,113135.0
45,113125.0,16/12/2019 09:47:00,113140.0,113125.0,113140.0
46,113135.0,16/12/2019 09:48:01,113135.0,113125.0,113130.0
47,113135.0,16/12/2019 09:49:00,113145.0,113125.0,113135.0
48,113135.0,16/12/2019 09:50:00,113145.0,113130.0,113135.0
49,113135.0,16/12/2019 09:51:00,113135.0,113130.0,113130.0
50,113125.0,16/12/2019 09:52:00,113135.0,113120.0,113130.0
51,113135.0,16/12/2019 09:53:00,113135.0,113125.0,113125.0
52,113120.0,16/12/2019 09:54:00,113140.0,113120.0,113135.0
53,113125.0,16/12/2019 09:55:00,113125.0,113115.0,113120.0
54,113115.0,16/12/2019 09:56:00,113125.0,113115.0,113125.0
55,113125.0,16/12/2019 09:57:01,113125.0,113115.0,113115.0
56,113130.0,16/12/2019 09:58:00,113130.0,113120.0,113125.0
57,113120.0,16/12/2019 09:59:00,113130.0,113115.0,113130.0
58,113150.0,16/12/2019 10:00:01,113150.0,113120.0,113120.0
59,113130.0,16/12/2019 10:01:00,113145.0,113125.0,113145.0
60,113135.0,16/12/2019 10:02:00,113155.0,113120.0,113130.0
61,113175.0,16/12/2019 10:03:00,113180.0,113135.0,113135.0
62,113200.0,16/12/2019 10:04:00,113200.0,113165.0,113175.0
63,113195.0,16/12/2019 10:05:00,113220.0,113195.0,113220.0
64,113195.0,16/12/2019 10:06:00,113200.0,113185.0,113195.0
65,113185.0,16/12/2019 10:07:00,113195.0,113175.0,113195.0
66,113170.0,16/12/2019 10:08:00,113175.0,113160.0,113170.0
67,113140.0,16/12/2019 10:09:00,113170.0,113140.0,113170.0
68,113145.0,16/12/2019 10:10:00,113160.0,113145.0,113145.0
69,113155.0,16/12/2019 10:11:01,113155.0,113130.0,113145.0
70,113110.0,16/12/2019 10:12:00,113165.0,113110.0,113150.0
71,113130.0,16/12/2019 10:13:01,113135.0,113110.0,113110.0
72,113150.0,16/12/2019 10:14:00,113150.0,113120.0,113130.0
73,113140.0,16/12/2019 10:15:00,113160.0,113140.0,113150.0
74,113170.0,16/12/2019 10:16:01,113170.0,113135.0,113135.0
75,113200.0,16/12/2019 10:17:01,113200.0,113165.0,113170.0
76,113230.0,16/12/2019 10:18:01,113230.0,113195.0,113205.0
77,113225.0,16/12/2019 10:19:00,113240.0,113215.0,113230.0
78,113185.0,16/12/2019 10:20:01,113225.0,113180.0,113225.0
79,113190.0,16/12/2019 10:21:02,113215.0,113190.0,113190.0
80,113135.0,16/12/2019 10:22:01,113200.0,113135.0,113190.0
81,113145.0,16/12/2019 10:23:00,113150.0,113130.0,113135.0
82,113140.0,16/12/2019 10:24:00,113145.0,113130.0,113145.0
83,113065.0,16/12/2019 10:25:00,113140.0,113065.0,113140.0
84,113215.0,16/12/2019 10:26:00,113215.0,113065.0,113065.0
85,113090.0,16/12/2019 10:27:00,113230.0,113085.0,113230.0
86,113100.0,16/12/2019 10:28:01,113105.0,113090.0,113090.0
87,113080.0,16/12/2019 10:29:01,113105.0,113080.0,113105.0
88,113140.0,16/12/2019 10:30:01,113175.0,113080.0,113080.0
89,113225.0,16/12/2019 10:31:00,113225.0,113130.0,113165.0
