,date_time,open,high,low,close
0,18/12/2019 09:34:00,112465.0,112480.0,112450.0,112465.0
1,18/12/2019 09:35:00,112465.0,112485.0,112465.0,112480.0
2,18/12/2019 09:36:01,112480.0,112485.0,112465.0,112475.0
3,18/12/2019 09:37:00,112475.0,112495.0,112475.0,112485.0
4,18/12/2019 09:38:00,112485.0,112495.0,112470.0,112490.0
5,18/12/2019 09:39:00,112490.0,112525.0,112485.0,112510.0
6,18/12/2019 09:40:00,112510.0,112520.0,112495.0,112520.0
7,18/12/2019 09:41:00,112540.0,112560.0,112525.0,112525.0
8,18/12/2019 09:42:00,112525.0,112540.0,112525.0,112540.0
9,18/12/2019 09:43:00,112530.0,112530.0,112520.0,112520.0
10,18/12/2019 09:44:01,112520.0,112540.0,112520.0,112540.0
11,18/12/2019 09:45:00,112540.0,112550.0,112525.0,112525.0
12,18/12/2019 09:46:00,112525.0,112525.0,112495.0,112505.0
13,18/12/2019 09:47:00,112505.0,112510.0,112495.0,112500.0
14,18/12/2019 09:48:00,112500.0,112510.0,112495.0,112510.0
15,18/12/2019 09:49:00,112510.0,112535.0,112510.0,112515.0
16,18/12/2019 09:50:00,112515.0,112520.0,112465.0,112465.0
17,18/12/2019 09:51:00,112465.0,112500.0,112465.0,112500.0
18,18/12/2019 09:52:01,112500.0,112500.0,112480.0,112495.0
19,18/12/2019 09:53:00,112520.0,112530.0,112490.0,112495.0
20,18/12/2019 09:54:00,112495.0,112505.0,112495.0,112500.0
21,18/12/2019 09:55:00,112500.0,112505.0,112490.0,112505.0
22,18/12/2019 09:56:00,112505.0,112545.0,112505.0,112530.0
23,18/12/2019 09:57:00,112530.0,112535.0,112515.0,112530.0
24,18/12/2019 09:58:00,112530.0,112530.0,112500.0,112500.0
25,18/12/2019 09:59:00,112500.0,112500.0,112480.0,112480.0
26,18/12/2019 10:00:01,112480.0,112490.0,112410.0,112410.0
27,18/12/2019 10:01:00,112410.0,112455.0,112410.0,112440.0
28,18/12/2019 10:02:00,112440.0,112460.0,112440.0,112450.0
29,18/12/2019 10:03:01,112450.0,112460.0,112365.0,112365.0
30,18/12/2019 10:04:01,112380.0,112410.0,112380.0,112405.0
31,18/12/2019 10:05:01,112405.0,112415.0,112390.0,112390.0
32,18/12/2019 10:06:00,112390.0,112395.0,112355.0,112360.0
33,18/12/2019 10:07:00,112360.0,112400.0,112360.0,112395.0
34,18/12/2019 10:08:00,112395.0,112410.0,112385.0,112405.0
35,18/12/2019 10:09:00,112405.0,112445.0,112395.0,112440.0
36,18/12/2019 10:10:00,112440.0,112440.0,112395.0,112410.0
37,18/12/2019 10:11:00,112410.0,112430.0,112410.0,112410.0
38,18/12/2019 10:12:00,112410.0,112410.0,112290.0,112310.0
